MUN_PROV,MUN_CODI,MUN_INE,MUN_DIGIT,MUN_NOM,MUN_NOM2,MUN_NOM3,MUN_NOM2_PART,MUN_BAIXA,MUN_DATA_ACT
8.0000000000000000e+00,2.3400000000000000e+02,"08234",,"SANT PERE DE VILAMAJOR","Sant Pere de Vilamajor","Sant Pere de Vilamajor",,,
8.0000000000000000e+00,2.3500000000000000e+02,"08235",,"SANT POL DE MAR","Sant Pol de Mar","Sant Pol de Mar",,,
8.0000000000000000e+00,2.3600000000000000e+02,"08236",,"SANT QUINTI DE MEDIONA","Sant Quintí de Mediona","Sant Quintí de Mediona",,,
8.0000000000000000e+00,2.3700000000000000e+02,"08237",,"SANT QUIRZE DE BESORA","Sant Quirze de Besora","Sant Quirze de Besora",,,
8.0000000000000000e+00,2.3800000000000000e+02,"08238",,"SANT QUIRZE DEL VALLES","Sant Quirze del Vallès","Sant Quirze del Vallès",,,
8.0000000000000000e+00,2.3900000000000000e+02,"08239",,"SANT QUIRZE SAFAJA","Sant Quirze Safaja","Sant Quirze Safaja",,,
8.0000000000000000e+00,2.4000000000000000e+02,"08240",,"SANT SADURNI D'ANOIA","Sant Sadurní d'Anoia","Sant Sadurní d'Anoia",,,
8.0000000000000000e+00,2.4100000000000000e+02,"08241",,"SANT SADURNI D'OSORMORT","Sant Sadurní d'Osormort","Sant Sadurní d'Osormort",,,
8.0000000000000000e+00,2.4200000000000000e+02,"08242",,"MARGANELL","Marganell","Marganell",,,
8.0000000000000000e+00,2.4300000000000000e+02,"08243",,"SANTA CECILIA DE VOLTREGA","Santa Cecília de Voltregà","Santa Cecília de Voltregà",,,
8.0000000000000000e+00,2.4400000000000000e+02,"08244",,"SANTA COLOMA DE CERVELLO","Santa Coloma de Cervelló","Santa Coloma de Cervelló",,,
8.0000000000000000e+00,2.4500000000000000e+02,"08245",,"SANTA COLOMA DE GRAMENET","Santa Coloma de Gramenet","Santa Coloma de Gramenet",,,
8.0000000000000000e+00,2.4600000000000000e+02,"08246",,"SANTA EUGENIA DE BERGA","Santa Eugènia de Berga","Santa Eugènia de Berga",,,
8.0000000000000000e+00,2.4700000000000000e+02,"08247",,"SANTA EULALIA DE RIUPRIMER","Santa Eulàlia de Riuprimer","Santa Eulàlia de Riuprimer",,,
8.0000000000000000e+00,2.4800000000000000e+02,"08248",,"SANTA EULALIA DE RONÇANA","Santa Eulàlia de Ronçana","Santa Eulàlia de Ronçana",,,
8.0000000000000000e+00,2.4900000000000000e+02,"08249",,"SANTA FE DEL PENEDES","Santa Fe del Penedès","Santa Fe del Penedès",,,
8.0000000000000000e+00,2.5000000000000000e+02,"08250",,"SANTA MARGARIDA DE MONTBUI","Santa Margarida de Montbui","Santa Margarida de Montbui",,,
